"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue"
"FEV1 Percent Predicted","10.2727272727273","14.9090909090909",NA,NA,NA,NA,"1","1","1","BO","1","1"
"FEV1 Percent Predicted","14.9090909090909","19.5454545454545",NA,NA,NA,NA,"1","1","1","BO","1","1"
"FEV1 Percent Predicted","19.5454545454545","24.1818181818182",NA,"54.2669027304711",NA,NA,"1","1","1","BO","1","1"
"FEV1 Percent Predicted","24.1818181818182","28.8181818181818",NA,"56.4291014632278",NA,NA,"1","1","1","BO","1","1"
"FEV1 Percent Predicted","28.8181818181818","33.4545454545455","74.3362812791935","58.5048805219815","1.27059965965171","0.345509537804889","0.212970039458285","0.212970039458285","1","BO","0.289502762430939","0.728839779005525"
"FEV1 Percent Predicted","33.4545454545455","38.0909090909091","74.3736231956933","60.4686070100918","1.22995429981182","0.298604711776124","0.186961661784506","0.186961661784506","1","BO","0.160220994475138","0.728839779005525"
"FEV1 Percent Predicted","38.0909090909091","42.7272727272727","74.3476732988427","62.3245534757614","1.19291144745637","0.254486952457133","0.161714809483735","0.161714809483735","1","BO","0.171270718232044","0.728839779005525"
"FEV1 Percent Predicted","42.7272727272727","47.3636363636364","74.2836884985981","64.0991370022691","1.15888749790763","0.212740519676007","0.137103470521946","0.137103470521946","1","BO","0.235359116022099","0.728839779005525"
"FEV1 Percent Predicted","47.3636363636364","52","74.195420333423","65.8019390797491","1.12755674636733","0.173200041589416","0.113126675689077","0.113126675689077","1","BO","0.334806629834254","0.728839779005525"
"FEV1 Percent Predicted","52","56.6363636363636","74.0845238990822","67.4323843184622","1.09864903410806","0.135730587726259","0.0897912172545174","0.0897912172545174","1","BO","0.443093922651934","0.728839779005525"
"FEV1 Percent Predicted","56.6363636363636","61.2727272727273","73.9441270897117","68.9898973286696","1.07181094555686","0.100050454339642","0.0669996381867017","0.0669996381867017","1","BO","0.556906077348066","0.781978056182398"
"FEV1 Percent Predicted","61.2727272727273","65.9090909090909","73.760228265831","70.4734920501046","1.04663790767442","0.0657624172885577","0.0445597348733937","0.0445597348733937","1","BO","0.702762430939227","0.856118784530387"
"FEV1 Percent Predicted","65.9090909090909","70.5454545454545","73.5343724829729","71.8704526425205","1.02315165383372","0.0330200004285489","0.0226277832293698","0.0226277832293698","1","BO","0.844198895027624","0.899860360633841"
"FEV1 Percent Predicted","70.5454545454545","75.1818181818182","73.2823228545004","73.1702498654339","1.00153167427025","0.00220804829990812","0.00152933183203037","0.00152933183203037","1","BO","0.980110497237569","1"
"FEV1 Percent Predicted","75.1818181818182","79.8181818181818","73.0199115246065","74.3838113081325","0.981664023938272","-0.0266987505258084","-0.0183359760617277","0.0183359760617277","-1","non-BO","0.868508287292818","0.915709824645688"
"FEV1 Percent Predicted","79.8181818181818","84.4545454545455","72.7629706374838","75.5300156804576","0.963364961359465","-0.0538456424096476","-0.0366350386405349","0.0366350386405349","-1","non-BO","0.769060773480663","0.881416964575886"
"FEV1 Percent Predicted","84.4545454545455","89.0909090909091","72.5187734775409","76.6277416922508","0.946377537377884","-0.0795122637055631","-0.053622462622116","0.053622462622116","-1","non-BO","0.669613259668508","0.843538781660329"
"FEV1 Percent Predicted","89.0909090909091","93.7272727272727","72.2352957990102","77.6573813092634","0.930179392881403","-0.104419116019377","-0.0698206071185974","0.0698206071185974","-1","non-BO","0.613259668508287","0.814879285552108"
"FEV1 Percent Predicted","93.7272727272727","98.3636363636364","71.8661963553104","78.6121333243824","0.914187076678917","-0.129438670326317","-0.0858129233210834","0.0858129233210834","-1","non-BO","0.539226519337017","0.78067122948792"
"FEV1 Percent Predicted","98.3636363636364","103","71.4347589817077","79.4587244723242","0.899017187301927","-0.153579397614569","-0.100982812698073","0.100982812698073","-1","non-BO","0.458563535911602","0.729191196449597"
