"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue"
"FEV1 over FVC","10.2727272727273","14.9090909090909",NA,NA,NA,NA,"1","1","1","BO","1","1"
"FEV1 over FVC","14.9090909090909","19.5454545454545",NA,NA,NA,NA,"1","1","1","BO","1","1"
"FEV1 over FVC","19.5454545454545","24.1818181818182",NA,"85.5247328903295",NA,NA,"1","1","1","BO","1","1"
"FEV1 over FVC","24.1818181818182","28.8181818181818",NA,"85.9116579051421",NA,NA,"1","1","1","BO","1","1"
"FEV1 over FVC","28.8181818181818","33.4545454545455","93.0673921805255","86.2677479175703","1.07882023614958","0.109454488531566","0.0730615106284024","0.0730615106284024","1","BO","0.414553472987872","1"
"FEV1 over FVC","33.4545454545455","38.0909090909091","92.6185870022949","86.579822968264","1.06974793695576","0.0972708966790276","0.0652003472465127","0.0652003472465127","1","BO","0.305402425578831","1"
"FEV1 over FVC","38.0909090909091","42.7272727272727","92.1951415969203","86.8500323139673","1.06154412543717","0.0861643413104473","0.0579760407150513","0.0579760407150513","1","BO","0.289966923925028","1"
"FEV1 over FVC","42.7272727272727","47.3636363636364","91.7887441417405","87.0919361772771","1.05392930930945","0.0757781036650117","0.0511697595209557","0.0511697595209557","1","BO","0.326350606394708","1"
"FEV1 over FVC","47.3636363636364","52","91.3949939427307","87.3105395924459","1.04678077090521","0.0659593278034276","0.0446901320748946","0.0446901320748946","1","BO","0.355016538037486","1"
"FEV1 over FVC","52","56.6363636363636","91.0135124171507","87.5056567051011","1.04008718800741","0.0567044710909989","0.0385421419181331","0.0385421419181331","1","BO","0.392502756339581","1"
"FEV1 over FVC","56.6363636363636","61.2727272727273","90.6470979063097","87.67710166087","1.03387425210436","0.0480607244365914","0.0327643831301625","0.0327643831301625","1","BO","0.444321940463065","1"
"FEV1 over FVC","61.2727272727273","65.9090909090909","90.3011322284588","87.8244772703897","1.02820005350495","0.0401209922751045","0.0274266213163661","0.0274266213163661","1","BO","0.50606394707828","1"
"FEV1 over FVC","65.9090909090909","70.5454545454545","89.9750870143319","87.9412804866758","1.02312686961573","0.0329850530174587","0.0226041073717678","0.0226041073717678","1","BO","0.595369349503859","1"
"FEV1 over FVC","70.5454545454545","75.1818181818182","89.6630913147257","88.0218730442186","1.0186455731257","0.0266521684424031","0.0183042793466296","0.0183042793466296","1","BO","0.65380374862183","1"
"FEV1 over FVC","75.1818181818182","79.8181818181818","89.3592483409085","88.0714362617808","1.0146223580969","0.020942856987287","0.0144116261387364","0.0144116261387364","1","BO","0.725468577728776","1"
"FEV1 over FVC","79.8181818181818","84.4545454545455","89.0576613041486","88.0992117382908","1.01087920705471","0.0156106156439062","0.0107621236828187","0.0107621236828187","1","BO","0.785005512679162","1"
"FEV1 over FVC","84.4545454545455","89.0909090909091","88.7554767192559","88.1144410726766","1.00727503504279","0.0104576630027497","0.00722249116645422","0.00722249116645422","1","BO","0.86438809261301","1"
"FEV1 over FVC","89.0909090909091","93.7272727272727","88.4709986377097","88.119116600156","1.00399325425776","0.00574957598034831","0.00397737160167772","0.00397737160167772","1","BO","0.933847850055127","1"
"FEV1 over FVC","93.7272727272727","98.3636363636364","88.2207077277464","88.0836338914557","1.0015561782619","0.00224334559072673","0.00155376033383959","0.00155376033383959","1","BO","0.974641675854465","1"
"FEV1 over FVC","98.3636363636364","103","87.9964626962068","87.9809359051072","1.00017647903992","0.000254582972091854","0.00017644790056159","0.00017644790056159","1","BO","0.996692392502756","1"
"FEV1 over FVC","103","107.636363636364","87.785437904908","87.8143791929659","0.999670426548318","-0.000475552353370992","-0.000329573451682189","0.000329573451682189","-1","non-BO","0.994487320837927","1"
"FEV1 over FVC","107.636363636364","112.272727272727","87.5748077156665","87.590839011626","0.999816975198086","-0.000264073140784759","-0.000183024801913582","0.000183024801913582","-1","non-BO","0.997794928335171","1"
"FEV1 over FVC","112.272727272727","116.909090909091","87.3517464902993","87.3171906176819","1.00039575108146","0.000570835175784388","0.000395594524503018","0.000395594524503018","1","BO","0.991179713340684","1"
"FEV1 over FVC","116.909090909091","121.545454545455","87.1035619634639","87.0003092677279","1.0011868083758","0.0017111873332539","0.00118540153133236","0.00118540153133236","1","BO","0.980154355016538","1"
"FEV1 over FVC","121.545454545455","126.181818181818","86.8307889298809","86.6470702183581","1.00212031071633","0.00305572335769969","0.00211582451094819","0.00211582451094819","1","BO","0.972436604189636","1"
"FEV1 over FVC","126.181818181818","130.818181818182","86.5479784910055","86.2643487261669","1.00328791405751","0.00473567631647579","0.00327713910577424","0.00327713910577424","1","BO","0.969128996692392","1"
"FEV1 over FVC","130.818181818182","135.454545454545","86.264093317076","85.8590200477485","1.00471788833721","0.00679046833770198","0.00469573438671153","0.00469573438671153","1","BO","0.936052921719956","1"
"FEV1 over FVC","135.454545454545","140.090909090909","85.981585027602","85.4379594396974","1.00636281099724","0.00915051514663529","0.00632258160546964","0.00632258160546964","1","BO","0.91289966923925","1"
"FEV1 over FVC","140.090909090909","144.727272727273","85.7029052420928","85.0080421586076","1.00817408642571","0.0117447776650552","0.00810781246589432","0.00810781246589432","1","BO","0.898566703417861","1"
"FEV1 over FVC","144.727272727273","149.363636363636","85.4305055800578","84.5761434610735","1.0101016916121","0.0145005430753271","0.0100006679485667","0.0100006679485667","1","BO","0.875413450937156","1"
"FEV1 over FVC","149.363636363636","154","85.1668376610066","84.1491386036894","1.01209399257324","0.0173432784931176","0.0119494757028318","0.0119494757028318","1","BO","0.854465270121279","1"
"FEV1 over FVC","154","158.636363636364","84.9143531044485","83.7339028430495","1.01409763812887","0.0201965628569783","0.0139016575907607","0.0139016575907607","1","BO","0.820286659316428","1"
"FEV1 over FVC","158.636363636364","163.272727272727","84.6755035298929","83.3373114357482","1.01605753858734","0.0229821031771622","0.0158037689574808","0.0158037689574808","1","BO","0.788313120176406","1"
"FEV1 over FVC","163.272727272727","167.909090909091","84.4527405568494","82.9662396383797","1.01791693735848","0.0256198414233014","0.0176015711114685","0.0176015711114685","1","BO","0.757442116868798","1"
"FEV1 over FVC","167.909090909091","172.545454545455","84.2485158048274","82.6275627075382","1.01961758333628","0.028028158007204","0.0192401383194013","0.0192401383194013","1","BO","0.739801543550165","1"
"FEV1 over FVC","172.545454545455","177.181818181818","84.0652808933362","82.3281558998181","1.02110001098084","0.0301241769697666","0.0206640003466137","0.0206640003466137","1","BO","0.717750826901874","1"
"FEV1 over FVC","177.181818181818","181.818181818182","83.9054874418854","82.0748944718137","1.02230393327768","0.0318241765544034","0.0218173212013047","0.0218173212013047","1","BO","0.7045203969129","1"
"FEV1 over FVC","181.818181818182","186.454545454545","83.7715870699843","81.8712217230179","1.02321164026837","0.0331045818242958","0.0226850822985938","0.0226850822985938","1","BO","0.697905181918412","1"
