"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue"
"Lavage Total CellCount cells_per_mcL","10.2727272727273","14.9090909090909","-161.12264094162","2707.73312525994","-0.0595046237897437","NaN","-0.940495376210256","0.940495376210256","-1","non-BO","0.125","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","14.9090909090909","19.5454545454545","-99.9127554946689","2524.45410344339","-0.039577964740332","NaN","-0.960422035259668","0.960422035259668","-1","non-BO","0.087719298245614","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","19.5454545454545","24.1818181818182","-40.2687197679451","2352.97082593398","-0.0171139902476101","NaN","-0.98288600975239","0.98288600975239","-1","non-BO","0.018640350877193","0.45202850877193"
"Lavage Total CellCount cells_per_mcL","24.1818181818182","28.8181818181818","19.249516423149","2190.39054452702","0.00878816632551962","-6.83022211008392","-0.991211833674481","0.991211833674481","-1","non-BO","0.00328947368421053","0.265899122807018"
"Lavage Total CellCount cells_per_mcL","28.8181818181818","33.4545454545455","80.0820032632109","2035.65470866043","0.0393396792307224","-4.66787099560853","-0.960660320769278","0.960660320769278","-1","non-BO","0.00548245614035088","0.265899122807018"
"Lavage Total CellCount cells_per_mcL","33.4545454545455","38.0909090909091","143.487356707322","1888.5383784739","0.0759779935334288","-3.71827457671354","-0.924022006466571","0.924022006466571","-1","non-BO","0.0142543859649123","0.45202850877193"
"Lavage Total CellCount cells_per_mcL","38.0909090909091","42.7272727272727","208.984363345474","1748.81661410714","0.119500444849199","-3.06491210613289","-0.880499555150801","0.880499555150801","-1","non-BO","0.0745614035087719","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","42.7272727272727","47.3636363636364","274.905432662475","1616.26447569986","0.17008691139081","-2.5556559685721","-0.82991308860919","0.82991308860919","-1","non-BO","0.175438596491228","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","47.3636363636364","52","340.165758684145","1490.65702339176","0.228198541546566","-2.13163852372641","-0.771801458453434","0.771801458453434","-1","non-BO","0.303728070175439","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","52","56.6363636363636","403.891301946921","1373.209915823","0.294122040114208","-1.76551319787056","-0.705877959885792","0.705877959885792","-1","non-BO","0.427631578947368","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","56.6363636363636","61.2727272727273","466.552281169353","1266.13209161759","0.368486261629538","-1.44031726294399","-0.631513738370462","0.631513738370462","-1","non-BO","0.526315789473684","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","61.2727272727273","65.9090909090909","530.17679147628","1169.52091312419","0.453328183811606","-1.14137223725654","-0.546671816188394","0.546671816188394","-1","non-BO","0.569078947368421","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","65.9090909090909","70.5454545454545","595.046517799937","1081.80948493271","0.550047421554035","-0.862372090992596","-0.449952578445966","0.449952578445966","-1","non-BO","0.62609649122807","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","70.5454545454545","75.1818181818182","659.472957343335","1001.43091163308","0.65853065816383","-0.602677487585038","-0.34146934183617","0.34146934183617","-1","non-BO","0.755482456140351","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","75.1818181818182","79.8181818181818","721.757447997026","926.818297815199","0.778747516852478","-0.360772436982283","-0.221252483147522","0.221252483147522","-1","non-BO","0.835526315789474","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","79.8181818181818","84.4545454545455","780.201327651564","856.404748068989","0.911019385881211","-0.134446340951018","-0.0889806141187888","0.0889806141187888","-1","non-BO","0.901315789473684","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","84.4545454545455","89.0909090909091","833.998026757582","788.625796534263","1.05753328184636","0.0807030674106064","0.0544032824630508","0.0544032824630508","1","BO","0.959429824561403","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","89.0909090909091","93.7272727272727","888.546882861706","728.420286612991","1.21982720579251","0.286676797786604","0.180211758475819","0.180211758475819","1","BO","0.866228070175439","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","93.7272727272727","98.3636363636364","948.723393042714","686.513000569635","1.38194526870651","0.466700479597891","0.276382341150171","0.276382341150171","1","BO","0.816885964912281","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","98.3636363636364","103","1012.19282697323","666.785444073239","1.51801878095895","0.602189639915916","0.341246621884159","0.341246621884159","1","BO","0.777412280701754","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","103","107.636363636364","1075.24788192349","666.99078704719","1.61208805699352","0.688930550266735","0.379686490659228","0.379686490659228","1","BO","0.799342105263158","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","107.636363636364","112.272727272727","1134.1812551637","684.882199414875","1.65602384779848","0.727723448714574","0.396143961737385","0.396143961737385","1","BO","0.841008771929825","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","112.272727272727","116.909090909091","1185.28564396411","718.212851099681","1.65032642085042","0.722751405784106","0.394059267690391","0.394059267690391","1","BO","0.850877192982456","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","116.909090909091","121.545454545455","1224.90079305743","764.735912024996","1.60173044549971","0.679631377670708","0.375675224998288","0.375675224998288","1","BO","0.87280701754386","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","121.545454545455","126.181818181818","1253.85163835701","822.204552114205","1.52498746830441","0.608797387272664","0.344256906509619","0.344256906509619","1","BO","0.881578947368421","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","126.181818181818","130.818181818182","1277.15216347627","888.371941290697","1.43763226202385","0.523694689961862","0.304411826017155","0.304411826017155","1","BO","0.879385964912281","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","130.818181818182","135.454545454545","1297.15786538038","960.991249477859","1.34981235894205","0.432758868284342","0.259156286890294","0.259156286890294","1","BO","0.87280701754386","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","135.454545454545","140.090909090909","1313.81485040435","1037.81564659908","1.26594241926273","0.340211786019565","0.210074656805966","0.210074656805966","1","BO","0.902412280701754","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","140.090909090909","144.727272727273","1327.06922488322","1116.59830257774","1.18849296279566","0.249133360941381","0.158598299439883","0.158598299439883","1","BO","0.902412280701754","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","144.727272727273","149.363636363636","1336.867095152","1195.09238733723","1.11863075132681","0.161733895883916","0.106049964374844","0.106049964374844","1","BO","0.934210526315789","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","149.363636363636","154","1343.15456754573","1271.05107080094","1.05672745840129","0.0796033378245637","0.0536822034388279","0.0536822034388279","1","BO","0.957236842105263","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","154","158.636363636364","1345.87774839941","1342.22752289226","1.00271952813133","0.00391812443534859","0.00271215235669574","0.00271215235669574","1","BO","0.99890350877193","0.99890350877193"
"Lavage Total CellCount cells_per_mcL","158.636363636364","163.272727272727","1344.98274404807","1406.37491353457","0.956347223705659","-0.0643935781784638","-0.0436527762943411","0.0436527762943411","-1","non-BO","0.955043859649123","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","163.272727272727","167.909090909091","1340.41566082675","1461.24641265126","0.917309804302423","-0.124519035388509","-0.0826901956975765","0.0826901956975765","-1","non-BO","0.941885964912281","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","167.909090909091","172.545454545455","1332.12260507045","1504.59519016571","0.885369442742755","-0.17564851314375","-0.114630557257245","0.114630557257245","-1","non-BO","0.921052631578947","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","172.545454545455","177.181818181818","1320.0496831142","1534.17441600132","0.860429993712699","-0.216870278370978","-0.1395700062873","0.1395700062873","-1","non-BO","0.915570175438597","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","177.181818181818","181.818181818182","1304.14300129304","1548.06538158298","0.842434057894555","-0.247364332120187","-0.157565942105445","0.157565942105445","-1","non-BO","0.915570175438597","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","181.818181818182","186.454545454545","1284.34866594197","1556.5153548523","0.825143588810813","-0.277282900571294","-0.174856411189187","0.174856411189187","-1","non-BO","0.914473684210526","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","186.454545454545","191.090909090909","1260.53379218511","1571.0799818066","0.802335849722689","-0.317721834135065","-0.197664150277311","0.197664150277311","-1","non-BO","0.913377192982456","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","191.090909090909","195.727272727273","1230.78014578693","1584.93758429615","0.776548021815955","-0.364852951094463","-0.223451978184045","0.223451978184045","-1","non-BO","0.912280701754386","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","195.727272727273","200.363636363636","1192.96374242362","1585.21389229521","0.752556956649142","-0.410127319705176","-0.247443043350858","0.247443043350858","-1","non-BO","0.908991228070175","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","200.363636363636","205","1147.35490063689","1572.28671214444","0.729736435329928","-0.454552606376849","-0.270263564670072","0.270263564670072","-1","non-BO","0.898026315789474","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","205","209.636363636364","1095.11763377358","1553.70617215687","0.704842172476748","-0.504627847980249","-0.295157827523252","0.295157827523252","-1","non-BO","0.890350877192982","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","209.636363636364","214.272727272727","1037.41595518052","1531.38296340547","0.677437309915953","-0.561840649318305","-0.322562690084047","0.322562690084047","-1","non-BO","0.882675438596491","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","214.272727272727","218.909090909091","975.413878204548","1505.87283880558","0.647739870903189","-0.626513544593139","-0.352260129096811","0.352260129096811","-1","non-BO","0.880482456140351","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","218.909090909091","223.545454545455","910.2754161925","1477.73155127257","0.615995114544724","-0.69900918593155","-0.384004885455276","0.384004885455276","-1","non-BO","0.869517543859649","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","223.545454545455","228.181818181818","843.164582491212","1447.51485372178","0.582491143578464","-0.779691980249309","-0.417508856421536","0.417508856421536","-1","non-BO","0.867324561403509","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","228.181818181818","232.818181818182","775.24539044752","1415.77849906856","0.547575338202658","-0.868870623189157","-0.452424661797342","0.452424661797342","-1","non-BO","0.861842105263158","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","232.818181818182","237.454545454545","707.68185340826","1383.07824022828","0.51167159805179","-0.966709940662031","-0.48832840194821","0.48832840194821","-1","non-BO","0.854166666666667","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","237.454545454545","242.090909090909","641.637984720268","1349.96983011627","0.475298018078673","-1.07309570905614","-0.524701981921327","0.524701981921327","-1","non-BO","0.847587719298246","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","242.090909090909","246.727272727273","578.277797730379","1317.0090216479","0.439084158289827","-1.18743061045476","-0.560915841710173","0.560915841710173","-1","non-BO","0.842105263157895","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","246.727272727273","251.363636363636","518.76530578543","1284.75156773852","0.403786474219747","-1.30833550988147","-0.596213525780253","0.596213525780253","-1","non-BO","0.825657894736842","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","251.363636363636","256","464.264522232257","1253.75322130348","0.370299764214825","-1.43323446400113","-0.629700235785175","0.629700235785175","-1","non-BO","0.790570175438597","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","256","260.636363636364","415.939460417695","1224.56973525813","0.339661718268757","-1.55782946712065","-0.660338281731243","0.660338281731243","-1","non-BO","0.758771929824561","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","260.636363636364","265.272727272727","374.95413368858","1197.75033752917","0.313048656251743","-1.67554118636326","-0.686951343748257","0.686951343748257","-1","non-BO","0.744517543859649","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","265.272727272727","269.909090909091","342.472555391748","1171.73720924035","0.29227761369273","-1.77458876130033","-0.70772238630727","0.70772238630727","-1","non-BO","0.721491228070175","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","269.909090909091","274.545454545455","319.658738874036","1143.25152173696","0.279604910027476","-1.83853839937397","-0.720395089972524","0.720395089972524","-1","non-BO","0.700657894736842","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","274.545454545455","279.181818181818","306.6608220062","1111.05445885035","0.276008812676486","-1.85721376338505","-0.723991187323514","0.723991187323514","-1","non-BO","0.68859649122807","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","279.181818181818","283.818181818182","300.222378584394","1075.56770486212","0.279129223783157","-1.84099491781441","-0.720870776216843","0.720870776216843","-1","non-BO","0.682017543859649","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","283.818181818182","288.454545454545","297.228928140617","1037.21294405386","0.286565000798121","-1.8030656760002","-0.713434999201879","0.713434999201879","-1","non-BO","0.700657894736842","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","288.454545454545","293.090909090909","297.297887391433","996.411860707187","0.298368475040463","-1.74483298323996","-0.701631524959537","0.701631524959537","-1","non-BO","0.718201754385965","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","293.090909090909","297.727272727273","300.247935903606","953.586139103681","0.314861891958521","-1.66720893763431","-0.685138108041479","0.685138108041479","-1","non-BO","0.733552631578947","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","297.727272727273","302.363636363636","305.897753243901","909.157463524943","0.336462896160901","-1.57148067616194","-0.663537103839099","0.663537103839099","-1","non-BO","0.758771929824561","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","302.363636363636","307","314.066018979083","863.547518252571","0.363692804785786","-1.45920771075604","-0.636307195214213","0.636307195214213","-1","non-BO","0.773026315789474","0.979628347183749"
"Lavage Total CellCount cells_per_mcL","307","311.636363636364","324.571412675915","817.17798756816","0.397185702030235","-1.33211440550886","-0.602814297969765","0.602814297969765","-1","non-BO","0.791666666666667","0.979628347183749"
