"","count"
"AR4040",80056
"AR4041",82010
"AR4042",70178
"AR4043",59427
"AR4044",73510
"AR4045",208131
"AR4046",90339
"AR4047",48535
"AR4048",223015
"AR4049",175183
"AR4120",43560
"AR4121",117019
"AR4122",51958
"AR4123",398853
"AR4124",199474
"AR4125",100568
"AR4126",419901
"AR4127",69289
"AR4128",63911
"AR4129",29411
"AR4151",435618
"AR4152",280942
"AR4153",262122
"AR4154",669592
"AR4155",441503
"AR4156",424120
"AR4157",416231
"AR4158",550664
"AR4159",200904
"AR4160",54637
"AR4161",281953
"AR4162",343212
"AR4163",314009
"AR4164",282834
"MKAN003341",65235
"MKAN003342",231595
"MKAN003343",204557
"MKAN003344",100308
"MKAN003345",37208
"MKAN003346",176379
"MKAN003347",101459
"MKAN003348",190839
"MKAN003432",250795
"MKAN003433",163635
"MKAN003434",224487
"MKAN003435",220082
"MKAN003436",228424
"MKAN003437",229028
"MKAN003479",172774
"MKAN003480",256108
"MKAN003481",148111
"MKAN003482",174004
"MKAN003483",71597
"MKAN003484",191556
"MKAN003485",125242
"MKAN003486",83203
"MKAN003487",281909
"MKAN003689",120800
"MKAN003690",324562
"MKAN003691",273905
"MKAN003692",70820
"MKAN003694",154896
"MKAN003695",102647
"MKAN003696",179840
"MKAN003697",445082
"MKAN003755",330517
"MKAN003756",313895
"MKAN003757",238808
"MKAN003758",81357
"MKAN003759",130900
"MKAN003760",130475
"MKAN003761",179049
"MKAN003762",161998
"MKAN003789",160300
"MKAN003790",75205
"MKAN003791",87384
"MKAN003792",43906
"MKAN003793",98365
"MKAN003794",104635
"MKAN003795",107010
"MKAN003796",35647
"MKAN003963",183386
