"","count"
"AR4040",8858
"AR4041",1614
"AR4042",2270
"AR4043",6787
"AR4044",5804
"AR4045",2393
"AR4046",2698
"AR4047",47444
"AR4048",2127
"AR4049",2003
"AR4120",6874
"AR4121",9432
"AR4122",2186
"AR4123",6012
"AR4124",2069
"AR4125",28573
"AR4126",6019
"AR4127",5658
"AR4128",1215
"AR4129",3139
"AR4151",4156
"AR4152",2428
"AR4153",2387
"AR4154",4941
"AR4155",12938
"AR4156",3712
"AR4157",10131
"AR4158",5012
"AR4159",1824
"AR4160",148333
"AR4161",2694
"AR4162",7045
"AR4163",46312
"AR4164",5874
"MKAN003341",10932
"MKAN003342",15630
"MKAN003343",1531
"MKAN003344",12140
"MKAN003345",144967
"MKAN003346",2150
"MKAN003347",8322
"MKAN003348",4529
"MKAN003432",5145
"MKAN003433",43379
"MKAN003434",2378
"MKAN003435",1884
"MKAN003436",5923
"MKAN003437",2204
"MKAN003479",1718
"MKAN003480",5159
"MKAN003481",1996
"MKAN003482",1862
"MKAN003483",3529
"MKAN003484",1414
"MKAN003485",108749
"MKAN003486",24469
"MKAN003487",6410
"MKAN003689",2332
"MKAN003690",2735
"MKAN003691",18223
"MKAN003692",53037
"MKAN003694",1536
"MKAN003695",85347
"MKAN003696",4297
"MKAN003697",2696
"MKAN003755",2140
"MKAN003756",4110
"MKAN003757",10273
"MKAN003758",87247
"MKAN003759",57977
"MKAN003760",46324
"MKAN003761",26154
"MKAN003762",87466
"MKAN003789",7761
"MKAN003790",93096
"MKAN003791",60982
"MKAN003792",87870
"MKAN003793",36151
"MKAN003794",11906
"MKAN003795",15120
"MKAN003796",67266
"MKAN003963",12252
