"","AR4040","AR4041","AR4042","AR4043","AR4044","AR4045","AR4046","AR4047","AR4048","AR4049","AR4120","AR4121","AR4122","AR4123","AR4124","AR4125","AR4126","AR4127","AR4128","AR4129","AR4151","AR4152","AR4153","AR4154","AR4155","AR4156","AR4157","AR4158","AR4159","AR4160","AR4161","AR4162","AR4163","AR4164","MKAN003341","MKAN003342","MKAN003343","MKAN003344","MKAN003345","MKAN003346","MKAN003347","MKAN003348","MKAN003432","MKAN003433","MKAN003434","MKAN003435","MKAN003436","MKAN003437","MKAN003479","MKAN003480","MKAN003481","MKAN003482","MKAN003483","MKAN003484","MKAN003485","MKAN003486","MKAN003487","MKAN003689","MKAN003690","MKAN003691","MKAN003692","MKAN003694","MKAN003695","MKAN003696","MKAN003697","MKAN003755","MKAN003756","MKAN003757","MKAN003758","MKAN003759","MKAN003760","MKAN003761","MKAN003762","MKAN003789","MKAN003790","MKAN003791","MKAN003792","MKAN003793","MKAN003794","MKAN003795","MKAN003796","MKAN003963"
"292",0.0177543186180422,0,0.0444711538461538,0.00534568781183179,0.03247038174638,0.0151515151515152,0,0.0182257091128546,0,0,0.0376044568245125,0.0190416405105671,0.0740740740740741,0.0149975810353169,0.0214797136038186,0.0201986534231051,0,0.0596610169491525,0.0523255813953488,0.0370603015075377,NA,0,0.0454545454545455,0,0.0335689045936396,0.025,0.0270406873894364,0.0319284802043423,0,0.0297137628012758,0.00551724137931034,0.0188897455666924,0.0268156882010972,0.0273972602739726,0.030501497005988,0.0145593869731801,0,0.0221879815100154,0.0175536079610032,0.0123456790123457,0.0239072687756581,0.0182815356489945,0.0192307692307692,0.00958452407122444,0.0048661800486618,0.0458015267175573,0.0168,0,0.0166666666666667,0.0105820105820106,0.0475059382422803,0.0434782608695652,0.00583090379008746,0,0.0118780256525428,0.0268822005894436,0.0173913043478261,0.0319573901464714,0.023936170212766,0.0132284590632821,0.0134133164424904,0.00997506234413965,0.0142870439314966,0.00529100529100529,0,0.0133333333333333,0.0212615166548547,0.0131403542182441,0.0209673627289632,0.0214047472555941,0.0198158774718243,0.0217740756977934,0.025299976132098,0.0609057782404997,0.0208374520580444,0.0282891217470657,0.0170942051304616,0.0158198215957814,0.0264485552667788,0.0154275639141934,0.0146292747442576,0.0386266094420601
"337",0.0304702495201536,0,0.0336538461538462,0.0473984319315752,0.0684510750329092,0.00606060606060606,0.066017316017316,0.0551196942265138,0.125,0,0.0323119777158774,0.0579619167189789,0.0275132275132275,0.0522496371552975,0.112171837708831,0.0601293247116859,0,0.0186440677966102,0.0930232558139535,0.010678391959799,NA,0,0,0.185882352941176,0.0535335689045936,0,0.0568612585291888,0.0485312899106003,0,0.0487289561156791,0,0.0570547417116422,0.0684107098992876,0.0174775625885687,0.0286302395209581,0.0464878671775223,0.0537634408602151,0.0434514637904468,0.0668299952011719,0.109567901234568,0.0516783385655639,0.048750761730652,0.120075046904315,0.0672235656188173,0.072992700729927,0.0763358778625954,0.0528,0.0614035087719298,0.233333333333333,0.0375661375661376,0.106888361045131,0,0.0408163265306122,0,0.0472625642561262,0.0447441278913995,0.0324942791762014,0.0452729693741678,0.0797872340425532,0.0400429031104755,0.0636759938894892,0.0448877805486284,0.0414417349218168,0.0575396825396825,0.0632911392405063,0.0533333333333333,0.0396881644223955,0.0468482193867835,0.046807873982089,0.0540137948900618,0.0566816661850308,0.0494666082127722,0.0445678824831297,0.0239458615304529,0.0472104701277134,0.043645174486296,0.0471905662867954,0.0563796757182987,0.0446414921265861,0.0515721422274464,0.0409457745148317,0.0429184549356223
"13373",0.00119961612284069,0.00677966101694915,0.0108173076923077,0,0,0,0,0.000482800241400121,0,0,0.00389972144846797,0.000418497593638837,0.00423280423280423,0.0391872278664731,0.00238663484486873,0.000399973335110993,1,0,0,0,NA,1,0.0636363636363636,0.0611764705882353,0.00530035335689046,0.2625,0.00555976750063179,0.00893997445721584,0.225490196078431,0.0029875250642587,0.111724137931034,0.0273708558211257,0.000900679603700974,0.000472366556447803,0.00112275449101796,0.0232439335887612,0.559139784946237,0.00107858243451464,0.00161644735180461,0.0262345679012346,0.00265636319729534,0.00853138330286411,0.0107879924953096,0.00127500549571334,0.0024330900243309,0,0,0.0657894736842105,0.333333333333333,0.0195767195767196,0.0190023752969121,0.0671936758893281,0.0583090379008746,0.466666666666667,0.0109796875779807,0.0114316334732518,0.0283752860411899,0.00133155792276964,0.0531914893617021,0.0054820641163151,0.00242184880211632,0.0548628428927681,0.00774851079672375,0.0171957671957672,0.689873417721519,0.326666666666667,0.0170092133238838,0.00571319748619311,0.000919058712890333,0.000420970823483695,0,0.00504164839982464,0.000151886649163539,0.00806871421134826,0.00363765766478194,0.00336700336700337,0.00451005412064945,0.00216844906608841,0.00198746369056719,0.00146929180135175,0.0047774568814273,0
"28095",0.0259117082533589,0.0711864406779661,0.0661057692307692,0.0723449750534569,0.0557261956998684,0.133333333333333,0.0465367965367965,0.0434117883725608,0,0,0.0376044568245125,0.0405942665829672,0.035978835978836,0.0256410256410256,0.0692124105011933,0.0491967202186521,0,0.0240677966101695,0,0.0433417085427136,NA,0,0.0181818181818182,0.0376470588235294,0.0706713780918728,0,0.0550922415971696,0.0383141762452107,0.0931372549019608,0.0547847501648522,0.161379310344828,0.0605242868157286,0.0500286579873905,0.0963627775153519,0.0527694610778443,0.0395913154533844,0.021505376344086,0.0366718027734977,0.0478619958073397,0.0570987654320988,0.0313933832407631,0.0335161486898233,0.0422138836772983,0.0544735106616839,0.0364963503649635,0.0458015267175573,0.0516,0.0570175438596491,0,0.028042328042328,0.0166270783847981,0.0671936758893281,0.0903790087463557,0,0.0478614563058342,0.053853710815397,0.0233409610983982,0.0466045272969374,0.0425531914893617,0.0552973423906566,0.0491449010767912,0.0648379052369077,0.0485852568875652,0.0277777777777778,0.0126582278481013,0.0666666666666667,0.0744153082919915,0.0394210626547324,0.0504413619167717,0.0355558433988537,0.0488791644304999,0.0333187198597107,0.0453707119144227,0.045288912024987,0.0584397611798664,0.031687592435256,0.0543626523518282,0.0374550293233453,0.037914691943128,0.0477519835439318,0.0486922723960161,0
"28450",0.0446257197696737,0.0440677966101695,0.0480769230769231,0.0288667141838917,0.0351031154014919,0.0303030303030303,0.0367965367965368,0.0327901830617582,0,0,0.0181058495821727,0.0297133291483574,0.0645502645502645,0.0488630865989357,0.0143198090692124,0.0289314045730285,0,0.031864406779661,0.0813953488372093,0.0282663316582915,NA,0,0.0818181818181818,0.0517647058823529,0.0381625441696113,0.4875,0.0280515542077331,0.0383141762452107,0.00980392156862745,0.0187595042323272,0.0179310344827586,0.0150346954510409,0.0334889052648817,0.0160604629192253,0.0370508982035928,0.0482758620689655,0.0645161290322581,0.036055469953775,0.0231101457328316,0.0185185185185185,0.0425018111567254,0.048750761730652,0.0712945590994372,0.0259397669817542,0,0,0.0396,0.0263157894736842,0.0166666666666667,0.0386243386243386,0.0190023752969121,0,0.0262390670553936,0.2,0.0364325996905724,0.028757702956149,0.0251716247139588,0.0199733688415446,0.0957446808510638,0.0452866166130378,0.0317821081262342,0.0448877805486284,0.0238737900223381,0.0555555555555556,0,0.0266666666666667,0.0255138199858257,0.0264711483526947,0.0176117297539915,0.0365273145299699,0.0220864467654708,0.0393102440450095,0.0160131924403845,0.0445080687142113,0.0279743782373176,0.0356839422259983,0.0249482993795926,0.0257256911931398,0.018957345971564,0.0348222156920364,0.0286377500067478,0.0171673819742489
"57975",0.0731765834932822,0.0372881355932203,0.0240384615384615,0.0541696364932288,0.0478279947345327,0.0424242424242424,0.0497835497835498,0.0682760008046671,0,0,0.0540389972144847,0.0349445490688429,0.00846560846560847,0.0488630865989357,0.0572792362768496,0.0492633824411706,0,0.0345762711864407,0,0.0157035175879397,NA,0,0.0454545454545455,0.0376470588235294,0.0678445229681979,0,0.0538286580742987,0.0561941251596424,0.0269607843137255,0.0579068484302036,0.0124137931034483,0.0296838858905166,0.0718906083681323,0.0297590930562116,0.0604416167664671,0.0446998722860792,0.043010752688172,0.0459167950693374,0.089232945217589,0.0277777777777778,0.0294614827336392,0.0505789152955515,0.105534709193246,0.058958012750055,0.0510948905109489,0.0916030534351145,0.0536,0.0307017543859649,0.0833333333333333,0.0746031746031746,0.0736342042755344,0.25296442687747,0.0145772594752187,0.0666666666666667,0.0489594250636323,0.0643029382870412,0.0283752860411899,0.0825565912117177,0.0691489361702128,0.0585150756763199,0.064980066321398,0.0423940149625935,0.0600102382725242,0.0661375661375661,0.0253164556962025,0,0.0524450744153083,0.0251380689392497,0.0744651292025563,0.0696868624720702,0.058498121619948,0.0507087534707,0.0898951982120772,0.0288912024986986,0.0657348463880432,0.0594732370433305,0.0715888590663088,0.0536691143856882,0.0713958110380676,0.0863943579194828,0.0583821425679506,0.0600858369098712
"60552",0.0448656429942418,0.0474576271186441,0.0564903846153846,0.0242337847469708,0.0258885476086003,0,0.0638528138528139,0.0388654194327097,0,0,0.101949860724234,0.0378740322243147,0.0412698412698413,0.0280599903241413,0.0286396181384248,0.0232651156589561,0,0.0772881355932203,0.0290697674418605,0.0565326633165829,NA,0,0.0181818181818182,0.0423529411764706,0.0365724381625442,0,0.00379075056861259,0.0842911877394636,0.0294117647058823,0.0291081833963584,0.0372413793103448,0.028141865844256,0.0239089494800622,0.0174775625885687,0.031062874251497,0.0484035759897829,0.0645161290322581,0.050231124807396,0.0280731442426692,0.0509259259259259,0.0214923931417532,0.0585009140767824,0.0140712945590994,0.0181138711804792,0.0656934306569343,0.0763358778625954,0.034,0.0219298245614035,0.05,0.0275132275132275,0.00950118764845606,0.0118577075098814,0.0349854227405248,0,0.0284473723611319,0.0250066982227382,0.080091533180778,0.0359520639147803,0.0265957446808511,0.0457633178405434,0.0277208539811468,0.00997506234413965,0.0325530528667163,0.0396825396825397,0.0253164556962025,0.04,0.0659107016300496,0.0455151399733384,0.0333212217068844,0.0241572487937567,0.0195268959253602,0.030834429343855,0.0313320459131642,0.0377407600208225,0.0292396504685461,0.0314673211869474,0.028930347164166,0.0378492927899069,0.0264485552667788,0.024390243902439,0.0422683473238144,0.0343347639484978
"87883",0.0328694817658349,0.0610169491525424,0.118990384615385,0.074839629365645,0.0465116279069767,0.0787878787878788,0.0367965367965368,0.0627640313820157,0,0,0.100278551532033,0.0736555764804352,0.0465608465608466,0.011611030478955,0.0477326968973747,0.0437970801946537,0,0.0477966101694915,0.0232558139534884,0.0584170854271357,NA,0,0.0545454545454545,0.00941176470588235,0.053356890459364,0,0.0548395248925954,0.116219667943806,0.0833333333333333,0.0587815742373064,0.0220689655172414,0.0443330763299923,0.0538770162941128,0.0562116202172886,0.0508982035928144,0.061941251596424,0.021505376344086,0.0550077041602465,0.0623089940140934,0.087962962962963,0.0929727119053369,0.0335161486898233,0.0623827392120075,0.0697296109034953,0.0413625304136253,0.0305343511450382,0.0664,0.0175438596491228,0,0.0338624338624339,0.0380047505938242,0,0.0349854227405248,0,0.0514049009332734,0.0482272037152809,0.0562929061784897,0.0346205059920107,0.0824468085106383,0.0525563103324991,0.0438540929244756,0.0399002493765586,0.0472822040208488,0.0621693121693122,0.0632911392405063,0.1,0.0446491849751949,0.0458960198057513,0.0597815632547502,0.0646999773323403,0.0359988440738141,0.0622533976326173,0.0535508928765162,0.0515356585111921,0.0556324384168281,0.0502847792567419,0.0565186782241387,0.0552461682519343,0.0513682923100443,0.0553923009109609,0.0531458338956517,0.0515021459227468
"95486",0.0568618042226488,0.0203389830508475,0.03125,0.0270848182466144,0.072400175515577,0.0727272727272727,0.0422077922077922,0.0500905250452625,0,0,0.0523676880222841,0.0349445490688429,0.0444444444444444,0.0401548137397194,0.035799522673031,0.0750616625558296,0,0.0511864406779661,0.00581395348837209,0.021356783919598,NA,0,0.0727272727272727,0.0494117647058823,0.0379858657243816,0.025,0.0255243871619914,0.0459770114942529,0,0.0594140682824422,0.0124137931034483,0.0493446414803392,0.0522803569966429,0.0368445914029287,0.0583832335329341,0.0592592592592593,0,0.0394453004622496,0.0652766903240472,0.0447530864197531,0.0639942042984786,0.0432663010359537,0.0398686679174484,0.0699054737304902,0.0535279805352798,0.0916030534351145,0.0376,0.0263157894736842,0,0.0264550264550265,0.0166270783847981,0.0276679841897233,0.0116618075801749,0,0.0530019463991616,0.065196034652139,0.0443935926773455,0.0386151797603196,0.0265957446808511,0.0462400190680491,0.0582361488878125,0.0423940149625935,0.0630351824274013,0.0542328042328042,0,0,0.0659107016300496,0.0592268139402019,0.0686729219655032,0.0657362132055309,0.065227263344755,0.0644454186760193,0.0660055981079263,0.060385216033316,0.057115179312799,0.0485226092702728,0.0692788313459761,0.0575624661179833,0.0392906283442899,0.0528945048486629,0.050797592377662,0.0171673819742489
"152480",0.050383877159309,0.023728813559322,0.0985576923076923,0.0588025659301497,0.0868802106186924,0.0484848484848485,0.0324675324675325,0.0433313216656608,0.25,0,0.0590529247910863,0.0872567482736974,0.0888888888888889,0.0638606676342525,0.167064439140811,0.0738617425504966,0,0.04,0.0755813953488372,0.0603015075376884,NA,0,0,0.0941176470588235,0.0492932862190813,0,0.0856709628506444,0.0523627075351213,0.0294117647058823,0.0534121035137063,0.132413793103448,0.0913646877409406,0.0651764513223614,0.0788852149267832,0.0559505988023952,0.0694763729246488,0,0.0685670261941448,0.0607178036521607,0.0725308641975309,0.0680994928761169,0.0652041438147471,0.0656660412757974,0.0573752473071005,0.0437956204379562,0.0305343511450382,0.0708,0.0263157894736842,0.0333333333333333,0.0708994708994709,0.0831353919239905,0.00790513833992095,0.0204081632653061,0,0.0694215700953237,0.065999821380727,0.0526315789473684,0.0745672436750999,0.0319148936170213,0.0811583839828387,0.0686314691307426,0.0349127182044888,0.0689687267311988,0.0529100529100529,0.0253164556962025,0.0133333333333333,0.0340184266477675,0.0445629403923062,0.0639493876504157,0.0637285062012241,0.0825248730545349,0.0564810755516586,0.0681971054744288,0.0562207183758459,0.0581827527578981,0.0736335315774568,0.0508646103753245,0.057463900251343,0.0784283748662284,0.0774316779312371,0.0730384085940241,0.107296137339056
"416344",0.00839731285988484,0,0,0.00605844618674269,0.00263273365511189,0,0.00216450216450216,0.00482800241400121,0,0,0.00557103064066852,0,0,0,0.0214797136038186,0.0141990533964402,0,0.0023728813559322,0,0.00690954773869347,NA,0,0,0.0117647058823529,0.00106007067137809,0,0.00353803386403841,0,0,0.00826279454709389,0.0248275862068966,0.0100231303006939,0.0103168754605748,0.0108644307982995,0.0138473053892216,0.00638569604086846,0,0.012788906009245,0.0073497840527366,0.0123456790123457,0.00120743781695243,0.0115783059110299,0.00656660412757974,0.00778193009452627,0,0,0.0076,0.0087719298245614,0,0.00105820105820106,0,0.00790513833992095,0,0,0.00798522732944053,0.0103599178351344,0.00320366132723112,0.00932090545938748,0,0.0110833035395066,0.0064085845225232,0.00498753117206983,0.00863272524199553,0.0112433862433862,0,0,0.00283486888731396,0.00628451723481242,0.00485177506572339,0.00518117936595318,0.00899971101845354,0.00752593891568026,0.00420942999110378,0.00442477876106195,0.00490292989601044,0.00160483338053432,0.0074360892330708,0.00724459119806811,0.00550374560464761,0.00984425506905671,0.00750357634484062,0
