"","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"292","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_cepacia"
"337","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_glumae"
"13373","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_mallei"
"28095","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_gladioli"
"28450","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_pseudomallei"
"57975","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_thailandensis"
"60552","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_vietnamiensis"
"87883","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_multivorans"
"95486","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_cenocepacia"
"152480","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_ambifaria"
"416344","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._KJ006"
"482957","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_lata"
"640510","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._CCGE1001"
"640511","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._CCGE1002"
"640512","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._CCGE1003"
"758793","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._RPE64"
"758796","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._RPE67"
"1097668","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._YI23"
"342113","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_oklahomensis"
"188058","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","uncultured_Burkholderia_sp."
"326454","Bacteria","","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_sp._M701"
