,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0,,,,,,,,
1,,,,,,,,
2,Bacteria,,,,,,,
41,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Stigmatella,Stigmatella_aurantiaca
286,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
287,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa
292,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia
294,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_fluorescens
300,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina
303,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_putida
305,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia_solanacearum
329,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia_pickettii
337,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_glumae
380,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium_fredii
384,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium_leguminosarum
450,Bacteria,,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_longbeachae
487,Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_meningitidis
517,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,
521,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella_avium
536,Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium_violaceum
545,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_koseri
548,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,[Enterobacter]_aerogenes
554,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium_carotovorum
562,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia_coli
