,AR4040,AR4041,AR4042,AR4043,AR4044,AR4045,AR4046,AR4047,AR4048,AR4049,AR4120,AR4121,AR4122,AR4123,AR4124,AR4125,AR4126,AR4127,AR4128,AR4129,AR4151,AR4152,AR4153,AR4154,AR4155,AR4156,AR4157,AR4158,AR4159,AR4160,AR4161,AR4162,AR4163,AR4164,MKAN003341,MKAN003342,MKAN003343,MKAN003344,MKAN003345,MKAN003346,MKAN003347,MKAN003348,MKAN003432,MKAN003433,MKAN003434,MKAN003435,MKAN003436,MKAN003437,MKAN003438,MKAN003439,MKAN003440,MKAN003441,MKAN003479,MKAN003480,MKAN003481,MKAN003482,MKAN003483,MKAN003484,MKAN003485,MKAN003486,MKAN003487,MKAN003689,MKAN003690,MKAN003691,MKAN003692,MKAN003694,MKAN003695,MKAN003696,MKAN003697,MKAN003754,MKAN003755,MKAN003756,MKAN003757,MKAN003758,MKAN003759,MKAN003760,MKAN003761,MKAN003762,MKAN003789,MKAN003790,MKAN003791,MKAN003792,MKAN003793,MKAN003794,MKAN003795,MKAN003796,MKAN003963
0,28558,8454,11574,30205,15294,6268,10567,119144,1258,1028,29984,28352,8870,13236,3480,66526,1892,17754,4018,13944,1377,512,2673,5780,33584,1255,23609,14675,6291,303597,11252,19853,100264,15304,27544,39447,886,35020,265071,5331,26113,10931,15013,95154,2839,1420,19528,2260,1390,2046,1731,1780,714,10146,2809,1682,2602,1726,90297,65176,15235,8224,4137,52204,148105,4713,191755,13865,1237,43036,1217,8044,27100,192882,137653,106896,59684,186486,18816,209439,146173,250335,92420,37522,40262,156098,3655
1,191,139,176,263,336,404,254,479,910,632,268,571,187,926,743,729,2661,542,549,100,2111,1310,1003,2654,1332,1829,1726,1755,978,1063,1146,1317,1639,1154,433,905,623,560,570,697,376,674,1004,1425,948,1577,1002,1115,1136,1520,2382,2578,1489,1306,851,1247,452,945,961,838,1314,493,1282,1142,894,452,866,763,1647,827,1228,1550,733,913,1227,606,953,879,806,1114,1079,833,873,588,913,689,942
2,71,83,145,103,48,86,47,249,35,104,103,95,26,243,15,288,160,125,0,210,186,70,38,94,76,96,104,30,65,775,134,77,173,156,77,238,29,246,1364,43,145,387,100,484,102,26,101,47,85,93,93,217,47,241,43,52,53,30,456,338,74,16,88,167,613,28,713,88,62,110,15,37,72,933,517,235,273,513,159,1331,1141,524,264,129,127,687,60
41,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,51,0,12,0,7,0,0,0,0,35,0,0,8,0,0,4,0,105,0,25,0,0,25,0,5,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,31,0,0,0,0,0,57,0,0,0,0,0,0,70,12,0,0,0,19,0,0,75,0,0
286,2,0,3,4,0,0,0,82,0,0,2,0,0,0,0,58,0,2,2,4,0,0,0,0,4,0,0,0,0,145,0,0,84,0,0,41,0,12,184,0,8,3,6,24,0,0,0,2,0,0,99,0,0,0,0,7,0,0,62,17,5,0,0,8,58,0,65,0,0,18,0,3,0,195,79,69,39,67,0,166,26,119,98,6,46,69,0
287,39,0,0,0,0,0,0,47,4,38,15,30,0,0,0,41,19,4,0,0,0,0,0,0,24,0,14,0,0,45,0,10,188,2,427,4,38,16,9,0,39,26,34,44,0,0,2,0,4,0,7063,22,42,14,2,12,0,2,71278,699,39,5,0,70,83,0,203,0,0,43,0,0,21,220,24,60,72,30,4,119,155,286,69,25,47,126,0
292,74,0,37,15,74,5,0,453,0,0,135,91,70,31,9,303,0,176,18,59,0,0,5,0,190,2,107,25,0,2208,4,49,655,58,163,114,0,144,1390,8,99,30,41,218,2,6,42,0,4,0,0,0,2,20,20,11,2,0,238,301,38,24,9,111,360,4,614,8,0,172,2,30,69,981,661,480,298,1166,234,1054,899,777,321,173,105,542,9
294,5,0,0,3,2,0,0,26,0,0,0,0,0,0,0,56,0,6,0,0,0,0,0,0,0,0,14,0,0,196,0,0,0,0,7,3,0,2,144,2,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,4,0,23,31,0,96,8,0,0,0,0,20,177,2,38,76,78,0,92,36,51,51,0,2,60,0
300,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,25,0,0,25,0,0,2,0,0,181,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,2,0,8,4,0,6,0,0,0,4,0,2,14,33,0,2,2,8,14,2,3,0,0,2,2,0
303,4,0,4,0,7,0,0,69,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,2,0,0,174,0,0,116,0,9,0,0,6,227,0,2,0,0,17,4,0,0,0,0,0,4,0,0,0,0,2,0,0,48,8,4,0,0,0,12,2,127,4,0,0,8,2,4,15,62,4,2,4,0,43,15,99,40,0,8,28,2
